IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9260,엘리스,의복의류,시흥시,정왕3동,경기도 시흥시 정왕대로 56,126.7230096,37.35450555
9261,크린토피아,세탁/가사서비스,시흥시,월곶동,경기도 시흥시 월곶중앙로 90,126.7357292,37.39023367
9262,부성하이퍼,종합소매점,시흥시,정왕4동,경기도 시흥시 옥구천동로 449,126.7330802,37.36041662
9263,이향원냉면,한식,시흥시,정왕본동,경기도 시흥시 군서로28번길 6,126.7492139,37.34528844
9264,유진감자탕,한식,시흥시,대야동,경기도 시흥시 복지로120번길 4,126.7928984,37.44903884
9265,이은아헤어아트,이/미용/건강,시흥시,장곡동,경기도 시흥시 장곡로37번길 7,126.7847474,37.3785744
9266,SM프로헤어,이/미용/건강,시흥시,능곡동,경기도 시흥시 승지로60번길 36,126.8107043,37.36864735
9267,신,요가/단전/마사지,시흥시,대야동,경기도 시흥시 비둘기공원5길 6,126.7905562,37.4435906
9268,폼호프,유흥주점,시흥시,정왕1동,경기도 시흥시 중심상가로 184,126.7354334,37.34462833
9269,본때,양식,시흥시,은행동,경기도 시흥시 대은로 86,126.7979449,37.44442286
9270,고흥식당,한식,시흥시,정왕본동,경기도 시흥시 군서마을로 40,126.7475064,37.34548663
9271,능화참치,한식,시흥시,대야동,경기도 시흥시 비둘기공원2길 16-1,126.7926075,37.44041287
9272,김재근스튜디오,사진/광학/정밀기기소매,시흥시,정왕2동,경기도 시흥시 정왕대로 188,126.7349719,37.34724546
9273,푸르지오공인중개사사무소,부동산중개,시흥시,장곡동,경기도 시흥시 진말로 10,126.7861665,37.37739959
9274,옥이노래방,유흥주점,시흥시,정왕1동,경기도 시흥시 중심상가로 323,126.748265,37.33717791
9275,백송식당,한식,시흥시,정왕본동,경기도 시흥시 정왕천로449번길 61,126.7478671,37.34755386
9276,포시즌보일러,철물/난방/건설자재소매,시흥시,장곡동,경기도 시흥시 진말로 36-1,126.7858933,37.38033422
9277,포토스튜디오,사진/광학/정밀기기소매,시흥시,매화동,경기도 시흥시 매화2로 20,126.8125998,37.4174044
